trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
145,angry,high,low,0,0.1,F,5,0.8,0.1411000000014155,angry,1,0.0253999999986263,angry,1,71
146,sad,low,high,0,0.1,M,5,0.8,0.0853000000006432,sad,1,0.071399999998448,sad,1,65
147,angry,high,low,0,0.1,F,5,0.8,0.1193000000007487,angry,1,0.0370000000000345,angry,1,68
148,sad,low,high,0,0.1,M,5,0.8,0.1020999999977902,sad,1,0.0816999999992731,sad,1,65
149,angry,high,high,0,0.1,F,5,0.8,0.1411000000014155,angry,1,0.1044999999999163,angry,1,61
150,sad,low,low,0,0.1,M,5,0.8,0.1354999999998654,sad,1,0.0580999999979212,sad,1,67
151,sad,low,low,0,0.1,F,5,0.8,0.0681999999992513,sad,1,0.0150000000001,sad,1,73
152,angry,high,high,0,0.1,M,5,0.8,0.0189000000023042,angry,1,0.0084000000022115,angry,1,73
153,sad,high,high,1,0.1,F,5,0.8,0.1313000000009196,angry,0,0.0589000000022679,angry,0,-50
154,angry,high,low,0,0.1,M,5,0.8,0.1358000000009269,sad,0,0.0050000000001091,sad,0,-50
155,sad,high,low,1,0.1,F,5,0.8,3.7223999999985153,angry,0,0.4153000000007978,sad,1,23
156,sad,low,high,0,0.1,F,5,0.8,0.4202000000029784,angry,0,0.0878000000006977,angry,0,-50
157,angry,high,low,0,0.1,M,5,0.8,0.1061999999992622,angry,1,0.2868000000007669,angry,1,38
158,sad,low,high,0,0.1,F,5,0.8,0.1409000000021478,sad,1,0.0873000000008232,sad,1,63
159,angry,high,low,0,0.1,M,5,0.8,0.1526000000014846,angry,1,0.0816999999992731,angry,1,65
160,sad,low,low,0,0.1,F,5,0.8,0.0684999999998581,sad,1,0.0195000000001073,sad,1,71
161,angry,high,low,0,0.1,F,5,0.8,0.1848000000009051,angry,1,0.1316000000015265,angry,1,58
162,sad,low,low,0,0.1,F,5,0.8,0.1044999999999163,sad,1,0.1154000000021824,sad,1,61
163,sad,low,high,0,0.1,M,5,0.8,0.1641000000015537,sad,1,0.004800000000614,sad,1,73
164,angry,high,low,0,0.1,M,5,0.8,0.0509999999999308,angry,1,0.0568000000007486,angry,1,67
165,sad,low,high,0,0.1,M,5,0.8,0.1008000000006177,sad,1,0.0198999999986426,sad,1,71
166,sad,low,low,0,0.1,F,5,0.8,0.0355000000001837,sad,1,0.0814000000023043,sad,1,65
167,angry,low,low,1,0.1,F,5,0.8,0.0340000000001055,sad,0,0.1200999999978194,sad,0,-50
168,sad,low,high,0,0.1,M,5,0.8,0.1670000000001437,angry,0,0.5558999999987009,sad,1,4
169,angry,high,high,0,0.1,M,5,0.8,0.8561999999992622,angry,1,0.4188999999985299,angry,1,21
170,sad,low,low,0,0.1,F,5,0.8,0.035699999999224,sad,1,0.0204000000021551,sad,1,71
171,angry,low,high,1,0.9,F,6,0.8,0.0519999999999072,sad,0,0.0568999999986772,sad,0,-50
172,sad,high,low,1,0.9,M,6,0.8,0.2073999999984153,sad,1,0.4878999999984899,sad,1,13
173,angry,low,low,1,0.9,M,6,0.8,0.0488000000007105,angry,1,0.0881999999992331,angry,1,63
174,angry,low,high,1,0.9,F,6,0.8,0.1582000000030348,angry,1,0.0226000000013755,angry,1,71
175,sad,high,low,1,0.9,M,6,0.8,0.0863000000008469,sad,1,0.1051999999992858,sad,1,61
176,angry,low,high,1,0.9,F,6,0.8,0.0356999999994513,angry,1,0.0860000000000127,angry,1,63
177,sad,high,low,1,0.9,F,6,0.8,0.1056999999991603,sad,1,0.0720000000001164,sad,1,65
178,sad,high,high,1,0.9,M,6,0.8,0.8454999999999018,angry,0,0.4971999999993386,sad,1,13
179,angry,low,low,1,0.9,M,6,0.8,0.0396999999993568,angry,1,0.071999999999889,angry,1,65
180,sad,high,low,1,0.9,F,6,0.8,0.0083999999985735,sad,1,0.0633000000007086,sad,1,67
181,sad,high,high,1,0.9,F,6,0.8,0.0742000000029747,sad,1,0.0969000000022788,sad,1,63
182,angry,high,high,0,0.9,M,6,0.8,0.5019999999999527,sad,0,0.1059000000022933,sad,0,-50
183,sad,high,high,1,0.9,M,6,0.8,0.557199999999284,angry,0,0.4488999999985026,sad,1,19
