trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
165,sad,high,low,1,0.2,M,6,0.8,0.3394000000000687,angry,0,0.1691000000000713,angry,0.0,-50
166,sad,low,low,0,0.2,M,6,0.8,0.148200000000088,sad,1,0.248600000000124,sad,1.0,44
167,angry,high,high,0,0.2,F,6,0.8,0.5351000000002841,sad,0,0.4152999999998883,sad,0.0,-50
168,angry,low,low,1,0.2,F,6,0.8,0.4621000000001913,angry,1,0.5707999999997355,angry,1.0,2
169,sad,low,high,0,0.2,F,6,0.8,0.5589999999999691,angry,0,0.3305000000000291,angry,0.0,-50
170,sad,low,low,0,0.2,M,6,0.8,0.7288999999998396,sad,1,0.4032999999999447,sad,1.0,23
171,angry,low,high,1,0.2,M,6,0.8,0.8075000000001182,sad,0,0.4596000000001368,angry,1.0,17
172,angry,high,high,0,0.2,F,6,0.8,0.4723999999998796,angry,1,0.3865999999995892,angry,1.0,25
173,sad,high,low,1,0.2,M,6,0.8,0.8541000000000167,sad,1,0.4467000000001917,sad,1.0,19
174,sad,low,high,0,0.2,M,6,0.8,0.8750999999995202,sad,1,0.486299999999801,sad,1.0,13
175,angry,high,high,0,0.2,F,6,0.8,0.503800000000183,angry,1,0.3243999999999687,angry,1.0,33
176,angry,low,low,1,0.2,F,6,0.8,1.2419999999999618,angry,1,0.4027000000000953,sad,0.0,-50
177,sad,low,high,0,0.2,M,6,0.8,0.6132999999999811,angry,0,0.4827000000002499,angry,0.0,-50
178,angry,high,high,0,0.2,M,6,0.8,0.5948000000003049,sad,0,0.2842999999998028,sad,0.0,-50
179,sad,low,high,0,0.2,M,6,0.8,0.552199999999857,sad,1,0.4710000000000036,angry,0.0,-50
180,sad,low,low,0,0.2,F,6,0.8,0.7197999999998501,sad,1,0.4026999999998679,sad,1.0,23
181,sad,high,high,1,0.2,F,6,0.8,1.1873999999997975,angry,0,0.4885999999999058,sad,1.0,13
182,angry,high,low,0,0.2,M,6,0.8,0.3382000000001426,angry,1,0.5032999999998538,sad,0.0,-50
183,sad,low,low,0,0.2,F,6,0.8,0.7473999999999705,sad,1,0.4533999999998741,sad,1.0,18
184,angry,high,high,0,0.2,M,6,0.8,0.6971000000000913,angry,1,0.5860000000000127,angry,1.0,2
185,angry,high,high,0,0.2,F,6,0.8,0.8043000000002394,sad,0,0.5207000000000335,angry,1.0,8
186,sad,high,low,1,0.2,M,6,0.8,0.4540999999999258,angry,0,0.5557000000003427,angry,0.0,-50
187,angry,high,high,0,0.2,M,6,0.8,0.673099999999522,sad,0,0.526199999999335,angry,1.0,8
188,angry,high,low,0,0.2,F,6,0.8,1.1943999999998596,sad,0,0.6760999999996784,angry,1.0,-10
189,sad,low,high,0,0.2,F,6,0.8,0.7031999999999243,sad,1,0.4526999999998224,angry,0.0,-50
190,angry,high,low,0,0.2,F,6,0.8,0.5044000000002598,angry,1,0.5235999999999876,angry,1.0,8
191,sad,low,low,0,0.2,M,6,0.8,0.5425000000000182,angry,0,0.5298999999999978,angry,0.0,-50
192,sad,low,high,0,0.2,F,6,0.8,0.5264999999999418,sad,1,0.6036000000008244,sad,1.0,-2
193,angry,low,high,1,0.2,M,6,0.8,0.9717999999998028,sad,0,0.5710999999992055,angry,1.0,2
194,angry,high,low,0,0.2,M,6,0.8,0.4775999999992564,sad,0,0.570100000000366,angry,1.0,2
195,angry,low,high,1,0.2,F,6,0.8,0.3424999999997453,angry,1,0.441800000000967,angry,1.0,19
196,sad,low,low,0,0.2,M,6,0.8,1.2128999999999903,sad,1,0.5018000000000029,sad,1.0,12
197,angry,high,low,0,0.2,F,6,0.8,1.3338999999996304,sad,0,0.4193000000009306,sad,0.0,-50
198,sad,low,high,0,0.2,F,6,0.8,0.5617000000002008,sad,1,0.5601999999998952,angry,0.0,-50
199,angry,high,high,0,0.2,M,6,0.8,0.7102999999997337,angry,1,0.4437000000002626,angry,1.0,19
200,sad,low,high,0,0.2,F,6,0.8,2.0356000000001586,angry,0,,,,-200
